a01,aeu,totexp_m,div,district,hh_type,lat1,long1,totexp_m_pc
1,3.73999995,6680.309821,40,1,national representative,22.87333333,89.84638889,1786.179121
2,2.889999926,4131.571778,40,1,national representative,22.87944444,89.84361111,1429.609648
3,3.709999919,6563.881676,40,1,national representative,22.89722222,89.8425,1769.240383
4,3.699999928,6997.186976,40,1,national representative,22.84083333,89.87777778,1891.131652
5,3.369999945,20516.59314,40,1,national representative,22.93361111,89.87833333,6088.009934
6,3.379999936,6498.950861,40,1,national representative,22.92166667,89.88194444,1922.766563
7,2.099999964,21168.69588,40,1,national representative,22.88416667,89.86666667,10080.33154
8,2.829999983,15705.41614,40,1,national representative,22.90694444,89.87194444,5549.617044
9,3.639999926,12397.73817,40,1,national representative,22.87944444,89.88888889,3405.972093
10,1.290000021,3717.4697,40,1,national representative,22.87722222,89.8875,2881.759409
11,4.419999897,11847.19553,40,1,national representative,22.87166667,89.87722222,2680.361042
12,3.109999955,6955.583185,40,1,national representative,22.85888889,89.87111111,2236.521957
13,3.310000002,15375.01663,40,1,national representative,22.85333333,89.87055556,4645.020127
14,7.669999927,36739.32575,40,1,national representative,22.8725,89.86527778,4790.003403
15,3.149999917,8002.476142,40,1,national representative,22.86083333,89.84722222,2540.468684
16,7.289999902,33741.69211,40,1,national representative,22.8425,89.83666667,4628.490063
17,3.379999936,11971.16762,40,1,national representative,22.91055556,89.82777778,3541.765635
18,4.539999962,23507.33971,40,1,national representative,22.88611111,89.8025,5177.828173
19,3.259999931,8563.697701,40,1,national representative,22.89416667,89.82833333,2626.901191
20,2.309999973,7685.717428,40,1,national representative,22.86,89.81805556,3327.150441
21,2.419999957,2634.359487,40,1,national representative,22.91333333,89.63861111,1088.57832
22,2.49000001,6448.377646,40,1,national representative,22.91333333,89.63861111,2589.709888
23,3.479999959,5669.977476,40,1,national representative,22.93361111,89.8575,1629.303891
24,3.359999955,5481.343722,40,1,national representative,22.92111111,89.86138889,1631.35232
25,2.319999993,8521.84109,40,1,national representative,22.91388889,89.66916667,3673.207378
26,2.439999938,14255.30892,40,1,national representative,22.91722222,89.70416667,5842.33987
27,2.219999969,9220.599369,40,1,national representative,22.96444444,89.7225,4153.423197
28,3.539999962,5293.881575,40,1,national representative,22.96222222,89.69611111,1495.446789
29,3.109999985,7902.028771,40,1,national representative,22.96388889,89.72166667,2540.845277
30,4.059999943,11491.67245,40,1,national representative,22.91,89.67722222,2830.461234
31,2.24000001,5443.244163,40,1,national representative,22.90472222,89.70416667,2430.019705
32,4.409999907,7392.402695,40,1,national representative,22.88361111,89.73055556,1676.281826
33,2.209999979,5386.084328,40,1,national representative,22.89555556,89.76277778,2437.142254
34,3.839999944,24003.27815,40,1,national representative,22.85805556,89.83472222,6250.853775
35,3.49999994,10000.14031,40,1,national representative,22.87027778,89.895,2857.182994
36,4.079999983,9803.176111,40,1,national representative,22.87666667,89.84194444,2402.739253
37,3.039999932,10794.83894,40,1,national representative,22.88,89.88333333,3550.93394
38,4.139999926,12224.07303,40,1,national representative,22.9025,89.71138889,2952.674698
39,3.609999955,9535.767659,40,1,national representative,22.89,89.76222222,2641.486919
40,2.699999988,9495.40102,40,1,national representative,22.88416667,89.83833333,3516.815208
41,4.359999895,9023.833159,40,1,national representative,22.56833333,89.96888889,2069.686554
42,2.839999974,6038.69371,40,1,national representative,22.48722222,90.17444444,2126.300622
43,3.719999969,5903.611452,40,1,national representative,22.47333333,90.17055556,1586.992339
44,1.290000021,7611.865344,40,1,national representative,22.4775,90.16444444,5900.670711
45,2.319999993,13629.1653,40,1,national representative,22.55666667,89.99277778,5874.640233
46,3.419999957,7237.58806,40,1,national representative,22.70333333,90.15,2116.253845
47,2.680000007,5292.503527,40,1,national representative,22.70972222,90.13166667,1974.814744
48,3.629999995,8559.768534,40,1,national representative,22.71611111,90.17638889,2358.06296
49,1.859999955,16161.90383,40,1,national representative,22.69111111,90.11833333,8689.195818
50,2.140000015,5583.674501,40,1,national representative,22.61722222,90.09222222,2609.193673
51,3.370000005,17350.94812,40,1,national representative,22.60666667,90.04416667,5148.649287
52,3.099999964,4754.752055,40,1,national representative,22.52527778,89.9575,1533.791003
53,2.629999936,14293.2871,40,1,national representative,22.61444444,90.08194444,5434.710058
54,3.149999976,22594.01498,40,1,national representative,22.58055556,90.02944444,7172.703223
55,2.309999973,6271.792425,40,1,national representative,22.57111111,90.00166667,2715.061688
56,4.639999956,14781.36575,40,1,national representative,22.53555556,90.1275,3185.639201
57,3.99999994,11710.52943,40,1,national representative,22.70083333,89.95916667,2927.632402
58,3.269999921,11382.14419,40,1,national representative,22.67694444,90.18611111,3480.778123
59,3.360000014,10715.68223,40,1,national representative,22.48222222,90.18916667,3189.191125
60,2.889999926,6275.984666,40,1,national representative,22.67305556,90.125,2171.621047
61,3.099999905,9817.050937,40,1,national representative,22.41277778,89.91611111,3166.790722
62,2.319999993,3067.045898,40,1,national representative,22.41472222,89.85444444,1322.002546
63,3.439999998,5737.387259,40,1,national representative,22.40805556,90.10277778,1667.845134
64,0.610000014,1743.088531,40,1,national representative,22.39388889,90.05416667,2857.522114
65,3.149999917,4703.337462,40,1,national representative,22.40638889,90.07027778,1493.123043
66,3.319999933,7699.858546,40,1,national representative,22.40861111,90.08472222,2319.234549
67,2.439999938,3931.05989,40,1,national representative,22.41583333,90.09833333,1611.09016
68,4.139999926,20725.07647,40,1,national representative,22.42472222,89.90027778,5006.057208
69,4.949999988,10623.36319,40,1,national representative,22.42722222,89.91472222,2146.133983
70,1.859999955,5698.373376,40,1,national representative,22.44555556,89.93444444,3063.641675
71,1.290000021,5363.486042,40,1,national representative,22.41611111,89.86,4157.741048
72,4.429999948,18147.985,40,1,national representative,22.42888889,89.91916667,4096.610659
73,3.689999968,11640.68521,40,1,national representative,22.4175,89.89333333,3154.657266
74,3.099999964,8344.563356,40,1,national representative,22.39777778,90.04055556,2691.794662
75,3.449999928,5477.099241,40,1,national representative,22.43472222,90.03694444,1587.56503
76,3.889999926,9995.97567,40,1,national representative,22.48222222,90.06611111,2569.659604
77,3.869999945,11841.32509,40,1,national representative,22.50638889,90.065,3059.773969
78,2.49999997,4922.985687,40,1,national representative,22.39583333,90.05333333,1969.194298
79,2.209999979,9973.092222,40,1,national representative,22.39472222,90.05222222,4512.711457
80,3.529999971,9995.367949,40,1,national representative,22.38555556,90.04833333,2831.549017
81,3.719999969,15286.35201,20,3,national representative,21.70083333,92.36805556,4109.234445
82,3.799999952,15894.99367,20,3,national representative,21.69944444,92.34416667,4182.893125
83,3.939999968,16571.60787,20,3,national representative,21.70722222,92.54638889,4205.99188
84,3.23999995,8866.054994,20,3,national representative,21.715,92.33138889,2736.436769
85,2.809999943,8062.255154,20,3,national representative,21.70277778,92.31277778,2869.130007
86,2.620000005,8276.205563,20,3,national representative,21.70194444,92.32666667,3158.857079
87,2.219999969,8500.218013,20,3,national representative,21.71166667,92.37361111,3828.927086
88,2.879999965,8195.909215,20,3,national representative,21.69611111,92.34972222,2845.801845
89,3.619999975,9063.325662,20,3,national representative,21.69527778,92.33583333,2503.68114
90,4.379999936,15195.00514,20,3,national representative,21.71138889,92.36972222,3469.179306
91,3.539999962,7055.857355,20,3,national representative,21.70777778,92.38888889,1993.180065
92,3.529999942,7137.34678,20,3,national representative,21.72055556,92.55027778,2021.911302
93,3.059999973,7751.084209,20,3,national representative,21.71611111,92.54472222,2533.034078
94,2.799999982,13682.99743,20,3,national representative,21.72916667,92.36194444,4886.784828
95,3.559999973,22864.0391,20,3,national representative,21.72972222,92.35611111,6422.482943
96,3.539999992,9671.641943,20,3,national representative,21.70361111,92.55416667,2732.10225
97,3.98999995,9885.898149,20,3,national representative,21.7075,92.55305556,2477.66874
98,2.379999936,7360.198452,20,3,national representative,21.71555556,92.37333333,3092.520442
99,3.429999948,9512.405983,20,3,national representative,21.7175,92.33777778,2773.296247
100,7.029999912,31931.3645,20,3,national representative,21.71611111,92.31916667,4542.15717
101,2.339999974,12157.16552,10,4,national representative,22.09638889,90.44916667,5195.369938
102,2.799999982,3755.116297,10,4,national representative,22.09527778,90.42888889,1341.112972
103,2.679999948,6450.460601,10,4,national representative,22.12583333,90.40388889,2406.888331
104,2.379999936,5867.891479,10,4,national representative,22.15861111,90.38972222,2465.500688
105,3.329999924,12823.51574,10,4,national representative,22.21055556,90.36833333,3850.905715
106,1.980000019,5042.153266,10,4,national representative,22.22333333,90.365,2546.542029
107,3.329999924,8154.357696,10,4,national representative,22.24694444,90.35027778,2448.756121
108,3.299999952,8139.582336,10,4,national representative,22.32,90.33666667,2466.540138
109,2.349999964,8588.539374,10,4,national representative,22.13916667,90.27916667,3654.697662
110,2.099999964,4485.884336,10,4,national representative,22.13583333,90.29666667,2136.135434
111,2.669999957,7681.305049,10,4,national representative,22.34194444,90.33555556,2876.893323
112,1.729999989,5918.970096,10,4,national representative,22.13722222,90.30861111,3421.370019
113,3.379999936,12085.20333,10,4,national representative,22.13555556,90.33055556,3575.504011
114,2.069999993,4314.164092,10,4,national representative,22.16861111,90.40861111,2084.13725
115,2.099999964,4627.481276,10,4,national representative,22.15333333,90.42527778,2203.56255
116,1.649999976,3066.107675,10,4,national representative,22.12527778,90.46611111,1858.247103
117,3.599999905,14983.46854,10,4,national representative,22.21138889,90.24472222,4162.074705
118,5.069999933,13937.86288,10,4,national representative,22.26916667,90.24722222,2749.085417
119,1.849999964,11271.2575,10,4,national representative,22.3,90.26611111,6092.571738
120,3.049999952,7706.097933,10,4,national representative,22.12666667,90.30972222,2526.589526
121,4.569999933,14590.32422,10,4,national representative,22.3975,90.2625,3192.631167
122,4.019999921,15585.73584,10,4,national representative,22.41111111,90.27055556,3877.048793
123,3.309999943,8107.968465,10,4,national representative,22.4325,90.27611111,2449.537343
124,1.280000001,3255.194775,10,4,national representative,22.44416667,90.27666667,2543.120915
125,1.319999993,4961.03712,10,4,national representative,22.19138889,90.27472222,3758.361475
126,4.409999907,9310.94618,10,4,national representative,22.21611111,90.29083333,2111.325709
127,2.699999988,9975.155312,10,4,national representative,22.23472222,90.275,3694.501984
128,4.099999964,12709.90012,10,4,national representative,22.26027778,90.27111111,3099.975666
129,3.049999952,9159.097003,10,4,national representative,22.26916667,90.27861111,3002.982671
130,1.859999955,6018.033125,10,4,national representative,22.29027778,90.27111111,3235.501759
131,2.49999994,7340.879627,10,4,national representative,22.32138889,90.26194444,2936.351921
132,3.849999964,7271.819308,10,4,national representative,22.3525,90.25055556,1888.784253
133,2.109999985,7643.463609,10,4,national representative,22.37138889,90.235,3622.494628
134,3.99999994,9485.866564,10,4,national representative,22.38611111,90.22,2371.466676
135,2.869999945,2936.820181,10,4,national representative,22.39888889,90.27111111,1023.282312
136,3.209999919,5327.209109,10,4,national representative,22.41472222,90.25,1659.566742
137,2.189999998,10480.84656,10,4,national representative,22.41,90.22861111,4785.774692
138,2.340000004,5578.598969,10,4,national representative,22.38194444,90.2675,2384.01665
139,1.439999998,2814.027773,10,4,national representative,22.35777778,90.26888889,1954.185957
140,3.469999909,15688.23074,10,4,national representative,22.34305556,90.28027778,4521.104077
141,3.519999981,5833.375594,10,4,national representative,22.3575,90.18611111,1657.208984
142,2.919999987,7354.855184,10,4,national representative,22.36166667,90.20611111,2518.786033
143,3.539999962,11877.11671,10,4,national representative,22.35277778,90.22111111,3355.11775
144,1.50999999,5351.26832,10,4,national representative,22.34638889,90.23694444,3543.886327
145,1.849999994,7133.619041,10,4,national representative,22.34611111,90.25138889,3856.010305
146,3.549999923,9602.23514,10,4,national representative,22.34305556,90.02361111,2704.855028
147,4.479999989,10876.29754,10,4,national representative,22.325,90.07777778,2427.744993
148,4.599999905,14524.55513,10,4,national representative,22.32805556,90.10166667,3157.512049
149,2.589999974,9530.749957,10,4,national representative,22.30277778,90.11638889,3679.826276
150,1.639999986,4351.976874,10,4,national representative,22.27444444,90.10861111,2653.644458
151,4.939999878,10861.77994,10,4,national representative,22.26166667,90.07722222,2198.740933
152,1.560000002,19856.63469,10,4,national representative,22.25055556,90.08694444,12728.61196
153,3.180000007,11428.08648,10,4,national representative,22.22972222,90.07416667,3593.737878
154,3.139999926,7321.78865,10,4,national representative,22.22694444,90.02472222,2331.77988
155,2.97999993,6163.442706,10,4,national representative,22.22444444,90.23333333,2068.269413
156,2.339999974,4965.706871,10,4,national representative,22.23138889,90.02222222,2122.096977
157,2.919999957,11022.87935,10,4,national representative,22.21972222,90.20111111,3774.958735
158,4.48999995,12070.65232,10,4,national representative,22.24055556,90.19305556,2688.341304
159,2.629999936,10602.66284,10,4,national representative,22.19694444,90.2325,4031.430838
160,1.290000021,3218.185361,10,4,national representative,22.20944444,90.22805556,2494.717292
161,1.839999974,8272.434054,10,6,national representative,22.93527778,90.40666667,4495.888137
162,3.869999945,10103.99302,10,6,national representative,22.94444444,90.49111111,2610.850946
163,2.74999994,7526.387379,10,6,national representative,22.93555556,90.50277778,2736.868197
164,0.829999983,4167.812836,10,6,national representative,22.86444444,90.43555556,5021.46135
165,1.879999995,12193.64356,10,6,national representative,22.91027778,90.50833333,6485.980631
166,5.259999931,17768.80921,10,6,national representative,22.93305556,90.46472222,3378.100655
167,3.73999995,10782.95543,10,6,national representative,22.83555556,90.45,2883.143202
168,3.180000007,8528.736398,10,6,national representative,22.90916667,90.50833333,2681.992572
169,1.50999999,10725.24303,10,6,national representative,22.98444444,90.34444444,7102.810002
170,3.899999946,17701.39877,10,6,national representative,22.91333333,90.52083333,4538.82026
171,3.379999936,11817.58547,10,6,national representative,22.90416667,90.415,3496.327127
172,2.279999971,7164.362297,10,6,national representative,22.8775,90.48555556,3142.264205
173,0.829999983,1625.87602,10,6,national representative,22.93361111,90.37,1958.886811
174,2.599999964,5818.117019,10,6,national representative,22.93027778,90.37472222,2237.737346
175,2.329999954,5751.82995,10,6,national representative,22.88638889,90.48361111,2468.596594
176,3.829999924,12375.25188,10,6,national representative,22.91333333,90.52083333,3231.136326
177,3.799999952,14145.54505,10,6,national representative,22.96388889,90.36111111,3722.511903
178,1.290000021,8058.420618,10,6,national representative,22.97111111,90.36194444,6246.837584
179,3.089999974,8289.355988,10,6,national representative,22.93888889,90.45638889,2682.639501
180,3.689999938,10582.80374,10,6,national representative,22.98861111,90.34611111,2867.968542
181,2.109999955,39550.50322,10,6,national representative,22.68694444,90.32305556,18744.31473
182,4.129999936,17854.87206,10,6,national representative,22.68833333,90.34388889,4323.21364
183,2.329999983,13460.26642,10,6,national representative,22.68166667,90.35944444,5776.93842
184,2.5,4106.641262,10,6,national representative,22.70083333,90.35388889,1642.656505
185,4.539999902,21067.77086,10,6,national representative,22.68055556,90.40666667,4640.478262
186,4.099999994,14944.51034,10,6,national representative,22.63055556,90.38222222,3645.002528
187,5.719999969,23893.37053,10,6,national representative,22.61083333,90.38472222,4177.162702
188,2.539999992,9739.369637,10,6,national representative,22.67583333,90.42805556,3834.397508
189,2.609999955,16527.5801,10,6,national representative,22.72444444,90.34361111,6332.406278
190,2.689999938,10557.37528,10,6,national representative,22.70305556,90.44777778,3924.674915
191,6.849999875,25977.83052,10,6,national representative,22.68361111,90.45694444,3792.384086
192,4.159999907,20631.99684,10,6,national representative,22.66666667,90.46277778,4959.614736
193,2.389999926,9927.34543,10,6,national representative,22.62666667,90.45833333,4153.701145
194,2.24999997,5184.283286,10,6,national representative,22.62861111,90.42083333,2304.125935
195,4.189999908,8047.003613,10,6,national representative,22.66055556,90.42361111,1920.525964
196,3.359999955,16610.87998,10,6,national representative,22.7225,90.39833333,4943.714346
197,1.50999999,17094.47364,10,6,national representative,22.72888889,90.38888889,11320.84354
198,2.099999964,9806.061324,10,6,national representative,22.735,90.36055556,4669.553091
199,2.959999979,12649.4739,10,6,national representative,22.7225,90.32916667,4273.470942
200,1.439999998,5760.98575,10,6,national representative,22.70055556,90.31972222,4000.684555
201,4.889999926,9446.246263,10,6,national representative,23.10055556,90.63305556,1931.747731
202,2.059999943,15435.7108,10,6,national representative,23.04416667,90.62944444,7493.063702
203,4.559999943,8059.235508,10,6,national representative,23.00444444,90.64444444,1767.37623
204,3.219999969,25145.38622,10,6,national representative,23.01361111,90.625,7809.126232
205,1.50999999,12776.54775,10,6,national representative,23.04527778,90.61722222,8461.289953
206,3.019999981,13985.05363,10,6,national representative,22.93222222,90.6975,4630.812488
207,2.539999962,7922.797085,10,6,national representative,23.02,90.60583333,3119.211498
208,4.469999969,6039.404706,10,6,national representative,23.01583333,90.635,1351.097259
209,4.669999957,10445.2765,10,6,national representative,23.00888889,90.65333333,2236.675931
210,2.459999979,13396.96352,10,6,national representative,23.03305556,90.69277778,5445.920178
