a01,aeu,totexp_m,hh_type,div,District,lat1,long1,totexp_m_pc
1,2.889999926,2684.166563,3,40,1,22.87333333,89.84638889,928.7773812
2,2.889999926,2262.694458,3,40,1,22.87944444,89.84361111,782.9392788
3,3.709999919,1435.726151,3,40,1,22.89722222,89.8425,386.9881892
4,3.48999995,5542.886932,3,40,1,22.84083333,89.87777778,1588.219774
5,3.709999919,5038.607067,3,40,1,22.93361111,89.87833333,1358.115142
6,4.47999993,2770.466351,3,40,1,22.92166667,89.88194444,618.4076772
7,3.339999944,7075.371803,3,40,1,22.88416667,89.86666667,2118.374827
8,3,6347.142921,3,40,1,22.90694444,89.87194444,2115.714307
9,3.139999926,3178.124847,3,40,1,22.87944444,89.88888889,1012.141695
10.1,4.659999967,4279.384899,3,40,1,22.87472222,89.88583333,918.3229463
10.2,2.469999969,2749.007866,3,40,1,22.87277778,89.88944444,1112.958664
11,5.299999893,6193.760027,3,40,1,22.87166667,89.87722222,1168.633991
12,3.419999957,3620.937972,3,40,1,22.85888889,89.87111111,1058.753806
13,3.559999973,2910.742867,3,40,1,22.96027778,89.87805556,817.624407
14,7.699999899,5952.583191,3,40,1,22.8725,89.86527778,773.0627622
15,2.709999979,3955.492023,3,40,1,22.86083333,89.84722222,1459.591164
16.1,4.469999939,3460.458313,3,40,1,22.8425,89.83666667,774.1517584
16.2,2.879999965,3331.904743,3,40,1,22.8425,89.83666667,1156.911383
17,2.74999994,3554.603271,3,40,1,22.91055556,89.82777778,1292.583036
18.1,4.439999998,4553.710335,3,40,1,22.88611111,89.8025,1025.610436
18.2,2.099999964,5443.829308,3,40,1,22.89805556,89.79861111,2592.299714
19,2.099999964,1989.523815,3,40,1,22.89416667,89.82833333,947.3923091
20,2.73999998,2800.505943,3,40,1,22.86,89.81805556,1022.082469
21,NA,0,2,40,1,22.91333333,89.63861111,NA
22,2.049999952,2267.827442,2,40,1,22.91333333,89.63861111,1106.257315
23,4.349999964,3205.180969,2,40,1,22.93361111,89.8575,736.8232174
24,2.579999983,2076.349209,2,40,1,22.92111111,89.86138889,804.7865203
25,2.319999993,2989.895845,2,40,1,22.91388889,89.66916667,1288.748213
26,2.209999979,4095.55949,2,40,1,22.91722222,89.70416667,1853.194357
27,2.759999961,2150.720242,2,40,1,22.96444444,89.7225,779.2464754
28,3.079999924,2763.809483,2,40,1,22.96222222,89.69611111,897.3407633
29,3.889999986,2855.178621,2,40,1,22.96388889,89.72166667,733.9790827
30.1,2.319999963,1938.809494,2,40,1,22.91,89.67722222,835.6937607
30.2,2.120000005,2392.103147,2,40,1,22.91,89.67722222,1128.350538
31,2.360000014,2374.523771,2,40,1,22.90472222,89.70416667,1006.154134
32,4.139999926,6062.172729,2,40,1,22.88361111,89.73055556,1464.292956
33,2.279999971,3017.976133,2,40,1,22.89555556,89.76277778,1323.673759
34,3.849999964,8190.892899,2,40,1,22.85805556,89.83472222,2127.504669
35,2.469999969,2360.595245,2,40,1,22.87027778,89.895,955.7065891
36,4.449999928,3865.312515,2,40,1,22.87666667,89.84194444,868.609568
37,3.48999995,2798.880951,2,40,1,22.88,89.88333333,801.9716307
38,4.639999926,3548.313324,2,40,1,22.9025,89.71138889,764.7227113
39,2.309999973,7382.683643,2,40,1,22.89,89.76222222,3195.966983
40,NA,0,2,40,1,22.88416667,89.83833333,NA
41,3.519999921,2788.511856,2,40,1,22.56833333,89.96888889,792.1908859
