,a01,totexp_m,div,District,lat,long
6373,6170,120.3965896,30,54,23.44333333,90.38888889
6136,5939,87.45041949,40,41,23.27805556,89.0875
3486,3373,141.5622014,30,61,24.70277778,90.35333333
3150,3047,129.3369944,60,58,24.57416667,91.82944444
758,733,95.6774846,20,15,22.60277778,92.08222222
3482,3369,44.12369038,30,61,24.91861111,90.28277778
2741,2650,75.93359351,20,51,23.19222222,90.79222222
2914,2817,47.54877718,30,54,23.52222222,90.41027778
4527,4381,101.9143445,50,81,24.46083333,88.83611111
1774,1711,124.0534264,30,35,23.00527778,90.11972222
3362,3250,55.46742296,30,61,24.80916667,90.54194444
1387,1335,96.84787852,55,27,25.57055556,89.185
6931,7217,133.0274575,20,3,22.35527778,92.22222222
5870,5680,56.41112333,10,6,23.0025,90.3375
3174,3071.1,191.7020032,60,58,24.73611111,92.01833333
3777,3651,71.60548557,30,67,23.96,90.62194444
982,943,215.9280875,20,19,23.16583333,91.41833333
3244,3135,168.4267462,30,59,23.66444444,90.8775
6051,5856,136.5348358,30,35,23.06527778,90.14166667
6414,6209.1,41.64933314,40,55,23.67388889,89.54055556
3609,3494,87.2264215,50,64,24.79722222,88.96472222
2079,2009,47.2503788,30,39,24.89805556,90.01888889
4521,4375,41.0224113,10,79,22.7325,90.18666667
3380,3268,84.01207112,30,61,24.40055556,90.84972222
5804,5615,165.3893785,10,6,23.08805556,90.38833333
3524,3410,91.16969249,30,61,25.01694444,90.59916667
4055,3924,118.1571429,30,72,24.7275,90.82138889
3275,3166,72.09567445,30,59,23.71777778,90.42416667
4065,3934,113.1201207,30,72,24.80777778,90.81666667
3729,3609.1,66.04582711,30,67,23.80944444,90.86027778
3471,3358,119.3849197,30,61,24.77333333,90.37972222
2993,2894,66.41441962,30,56,23.88527778,90.0375
26,24,55.93663386,40,1,22.92111111,89.86138889
4329,4188,48.47723431,50,76,24.24972222,89.29361111
3220,3115,129.3167925,60,58,24.42083333,91.75
18,17,58.12455093,40,1,22.91055556,89.82777778
4309,4171,163.4005419,50,76,24.12694444,89.80166667
1081,1040.2,70.3873773,20,19,23.67972222,91.12527778
1395,1343,144.4019342,30,29,23.46138889,90.11638889
4163,4029,78.26647241,55,73,25.97944444,89.23055556
4447,4301,78.17158281,10,78,22.49916667,90.42222222
5967,5773,103.1506404,30,29,23.40916667,89.74166667
4524,4378,106.3892686,10,79,22.715,90.15805556
787,758,136.0193384,20,15,22.81277778,91.98388889
469,457,66.74174341,50,10,24.84916667,89.65444444
1603,1543,71.66058162,55,32,25.305,89.655
873,838,137.9339554,20,15,22.75888889,92.03888889
1718,1657,130.7969802,30,33,24.45222222,90.61666667
4586,4439,52.62122669,50,81,24.93583333,88.78444444
2415,2334,100.8358247,40,47,23.06694444,89.70444444
